icd_id	icd_name	another_sctid	another_sct_term_cn	another_sct_term	relationship_type	icd_where
H44.7	眼内残留(陈旧性)非磁性异物	786984008	残留的非磁性异物	Retained nonmagnetic foreign body	Associated morphology	source
H44.7	眼内残留(陈旧性)非磁性异物	786984008	残留的非磁性异物	Retained nonmagnetic foreign body	Associated morphology	source
H44.7	眼内残留(陈旧性)非磁性异物	786984008	残留的非磁性异物	Retained nonmagnetic foreign body	Associated morphology	source
D36.1	周围神经和自主神经系统良性肿瘤	985004	神经鞘瘤(形态学异常)	Schwannoma (morphologic abnormality)	Associated morphology	source
D33.3	脑神经良性肿瘤	253086004	细胞性神经鞘瘤	Cellular neurilemmoma	Associated morphology	source
H44.6	眼内残留(陈旧性)磁性异物	783410006	残留磁性异物	Retained magnetic foreign body	Associated morphology	source
G93.0	大脑囊肿	785284009	蛛网膜囊肿	Arachnoid cyst	Associated morphology	source
C47.9	未特指的周围神经和自主神经系统恶性肿瘤	354002	横纹肌成纤维细胞分化的恶性神经鞘瘤	Malignant neurilemmoma with rhabdomyoblastic differentiation	Associated morphology	source
S21.9	胸部部位未特指的开放性伤口	783710005	浅表撕裂伤	Superficial laceration	Associated morphology	source
Z89.4	足和踝后天性缺失	787161009	右脚中部截肢(手术)	Amputation of right midfoot (procedure)	Associated procedure	source
Z92.2	长期(近期)使用其他药剂个人史	782712008	维多利珠单抗治疗(程序)	Vedolizumab therapy (procedure)	Associated procedure	source
Z92.2	长期(近期)使用其他药剂个人史	782708002	依维莫司疗法	Everolimus therapy	Associated procedure	source
Z89.3	双上肢[任何水平]后天性缺失	787400001	双手手指截肢(手术)	Amputation of finger of bilateral hands (procedure)	Associated procedure	source
Z89.4	足和踝后天性缺失	787159000	左脚中部截肢	Left midfoot amputation	Associated procedure	source
Z92.2	长期(近期)使用其他药剂个人史	782711001	Secukinumab 疗法(程序)	Secukinumab therapy (procedure)	Associated procedure	source
Z92.2	长期(近期)使用其他药剂个人史	782710000	那他珠单抗疗法	Natalizumab therapy	Associated procedure	source
Z92.2	长期(近期)使用其他药剂个人史	782709005	羟氯喹治疗(程序)	Hydroxychloroquine therapy (procedure)	Associated procedure	source
Z89.4	足和踝后天性缺失	787213005	左足趾部分切断术	Partial amputation of toe of left foot	Associated procedure	source
Z94.9	未特指的器官和组织移植状态	782902008	植入程序(程序)	Implantation procedure (procedure)	Associated procedure	source
Z25.1	为抗流感采取必要的免疫	787016008	鼻内接种流感疫苗(程序)	Administration of intranasal influenza vaccination (procedure)	Associated procedure	source
Z53.2	由于其他和未特指的原因而使病人决定不进行操作	783260003	儿童15年考试(程序)	Child 15 year examination (procedure)	Associated procedure	source
Z89.7	双下肢后天性缺失[任何水平,除外仅趾]	787399008	双足截肢(手术)	Amputation of bilateral feet (procedure)	Associated procedure	source
Z96.8	具有其他特指的功能性植入物	784213003	皮肤生物合成皮肤移植术	Biosynthetic graft of skin to skin	Associated procedure	source
R50.9	未特指的发热	784372002	家族性内膜脑颞叶癫痫症伴热性惊厥(障碍)	Familial mesial temporal lobe epilepsy with febrile seizures (disorder)	Associated with	destination
T86.8	其他移植器官和组织的失败和排斥	785831002	左眼角膜移植(手术)	Transplant of cornea of left eye (procedure)	Associated with	source
R73.0	葡萄糖耐量试验异常	782964007	遗传疾病	Genetic disease	Associated with	source
G71.3	线粒体肌病,不可归类在他处者	782964007	遗传疾病	Genetic disease	Associated with	source
E34.9	未特指的内分泌疾患	194788005	内分泌性高血压	Endocrine hypertension	Associated with	destination
E13.9	其他特指的糖尿病不伴有并发症	782964007	遗传疾病	Genetic disease	Associated with	source
D68.9	未特指的凝血缺陷	267199000	产前出血伴凝血功能缺陷	Antepartum hemorrhage with coagulation defect	Associated with	destination
T86.8	其他移植器官和组织的失败和排斥	785830001	右眼角膜移植(手术)	Transplant of cornea of right eye (procedure)	Associated with	source
E13.9	其他特指的糖尿病不伴有并发症	782964007	遗传疾病	Genetic disease	Associated with	source
E34.3	身材矮小症,不可归类在他处者	23719005	骨髓输注	Transfusion of bone marrow	Associated with	source
E13.6	其他特指的糖尿病伴有其他特指的并发症	782964007	遗传疾病	Genetic disease	Associated with	source
E13.9	其他特指的糖尿病不伴有并发症	782964007	遗传疾病	Genetic disease	Associated with	source
E13.8	其他特指的糖尿病伴有未特指的并发症	782964007	遗传疾病	Genetic disease	Associated with	source
E13.9	其他特指的糖尿病不伴有并发症	782964007	遗传疾病	Genetic disease	Associated with	source
J63.8	其他特指的无机粉尘引起的肺尘埃沉着病	785654008	铈尘	Cerium dust	Causative agent	source
N49.8	"男性生殖器官其他特指的炎性疾患	"	409822003	结构域细菌(生物体)	Domain Bacteria (organism)	Causative agent	source
B48.8	其他特指的真菌病	20035009	美丽姬小蜂	Byssochlamys spectabilis	Causative agent	source
L10.8	其他天疱疮	787733005	免疫球蛋白A 自身抗体(物质)	Immunoglobulin A autoantibody (substance)	Causative agent	source
K81.8	其他的胆囊炎	409822003	结构域细菌(生物体)	Domain Bacteria (organism)	Causative agent	source
L98.4	皮肤慢性溃疡,不可归类在他处者	387381009	甲氨蝶呤	MTX - methotrexate	Causative agent	source
N73.1	"慢性子宫旁组织炎和盆腔蜂窝织炎	"	409822003	结构域细菌(生物体)	Domain Bacteria (organism)	Causative agent	source
L01.0	脓疱病[任何器官][任何部位]	409822003	结构域细菌(生物体)	Domain Bacteria (organism)	Causative agent	source
L70.9	未特指的痤疮	409822003	结构域细菌(生物体)	Domain Bacteria (organism)	Causative agent	source
K81.8	其他的胆囊炎	409822003	结构域细菌(生物体)	Domain Bacteria (organism)	Causative agent	source
B47.0	真菌性足菌肿	38224003	甄氏外瓶霉(微生物)	Exophiala jeanselmei (organism)	Causative agent	source
N75.1	"前庭大腺脓肿	"	409822003	结构域细菌(生物体)	Domain Bacteria (organism)	Causative agent	source
N75.1	"前庭大腺脓肿	"	409822003	结构域细菌(生物体)	Domain Bacteria (organism)	Causative agent	source
N75.1	"前庭大腺脓肿	"	409822003	结构域细菌(生物体)	Domain Bacteria (organism)	Causative agent	source
B35.0	须癣和头癣	38383008	黄褐节皮病	Arthroderma fulvum	Causative agent	source
J66.8	其他特指的有机粉尘引起的气道疾病	785344003	剑麻粉	Sisal dust	Causative agent	source
K81.0	急性胆囊炎	409822003	结构域细菌(生物体)	Domain Bacteria (organism)	Causative agent	source
B35.8	其他皮肤癣菌病	38383008	黄褐节皮病	Arthroderma fulvum	Causative agent	source
B35.9	未特指的皮肤癣菌病	63368008	桃色沙布拉迪斯	Sabouraudites persicolor	Causative agent	source
B44.8	其他形式的曲霉病	243495007	帚状曲霉	Aspergillus penicillioides	Causative agent	source
K81.0	急性胆囊炎	409822003	结构域细菌(生物体)	Domain Bacteria (organism)	Causative agent	source
G04.8	其他脑炎、脊髓炎和脑脊髓炎	50942005	变形虫门	Phylum Amoebozoa	Causative agent	source
L08.9	皮肤和皮下组织未特指的局部感染	409822003	结构域细菌(生物体)	Domain Bacteria (organism)	Causative agent	source
S30.8	腹部、下背和骨盆其他的浅表损伤	409822003	结构域细菌(生物体)	Domain Bacteria (organism)	Causative agent	source
B48.8	其他特指的真菌病	28794003	渐强 Emmonsia crescens (有机体)	Emmonsia crescens (organism)	Causative agent	source
N49.8	"男性生殖器官其他特指的炎性疾患	"	409822003	结构域细菌(生物体)	Domain Bacteria (organism)	Causative agent	source
B48.8	其他特指的真菌病	243505000	帕瓦埃莫尼亚(意大利北部一城市)	Emmonsia parva	Causative agent	source
N49.8	"男性生殖器官其他特指的炎性疾患	"	409822003	结构域细菌(生物体)	Domain Bacteria (organism)	Causative agent	source
T45.1	抗肿瘤药和免疫抑制剂中毒	387381009	甲氨蝶呤	MTX - methotrexate	Causative agent	source
B35.4	体癣	63368008	桃色沙布拉迪斯	Sabouraudites persicolor	Causative agent	source
E79.8	其他嘌呤和嘧啶代谢紊乱	250456004	尿酸结晶	Uric acid crystal	Causative agent	source
T42.1	亚氨基二苯乙烯类中毒	360184001	亚氨基二苯乙烯	Iminostilbene	Causative agent	source
E70.2	酪氨酸代谢紊乱	387422001	对苯二酚	p-dihydroxybenzene	Causative agent	source
A04.3	肠出血性大肠杆菌感染	116395006	产志贺毒素的大肠桿菌	Shiga toxin-producing Escherichia coli	Causative agent	source
T38.8	其他和未特指的激素类及其合成代用品中毒	77671006	抗利尿激素(物质)	Antidiuretic hormone (substance)	Causative agent	source
T38.8	其他和未特指的激素类及其合成代用品中毒	77671006	抗利尿激素(物质)	Antidiuretic hormone (substance)	Causative agent	source
B35.4	体癣	38383008	黄褐节皮病	Arthroderma fulvum	Causative agent	source
Z22.1	其他肠道传染病带菌者	50942005	变形虫门	Phylum Amoebozoa	Causative agent	source
T36.3	大环内酯类中毒	387487009	克拉霉素	6-O-methylerythromycin	Causative agent	source
T88.7	药物和药剂未特指的有害效应	419382002	维生素 B12	Vitamin B12	Causative agent	source
T88.7	药物和药剂未特指的有害效应	387086006	左旋多巴	L-dopa	Causative agent	source
T88.7	药物和药剂未特指的有害效应	387086006	左旋多巴	L-dopa	Causative agent	source
T36.3	大环内酯类中毒	387487009	克拉霉素	6-O-methylerythromycin	Causative agent	source
T36.3	大环内酯类中毒	387487009	克拉霉素	6-O-methylerythromycin	Causative agent	source
T42.8	抗帕金森病药和其他中枢神经系统肌肉张力抑制剂中毒	387086006	左旋多巴	L-dopa	Causative agent	source
T42.8	抗帕金森病药和其他中枢神经系统肌肉张力抑制剂中毒	387086006	左旋多巴	L-dopa	Causative agent	source
A49.9	未特指的细菌性感染	409822003	结构域细菌(生物体)	Domain Bacteria (organism)	Causative agent	source
T82.7	其他心脏和血管装置、植入物和移植物引起的感染和炎症性反应	409822003	结构域细菌(生物体)	Domain Bacteria (organism)	Causative agent	source
A81.0	克罗伊茨费尔特-雅各布病	84676004	朊病毒	Prion	Causative agent	source
T45.1	抗肿瘤药和免疫抑制剂中毒	387381009	甲氨蝶呤	MTX - methotrexate	Causative agent	source
T36.3	大环内酯类中毒	387487009	克拉霉素	6-O-methylerythromycin	Causative agent	source
T36.3	大环内酯类中毒	387487009	克拉霉素	6-O-methylerythromycin	Causative agent	source
T42.8	抗帕金森病药和其他中枢神经系统肌肉张力抑制剂中毒	387086006	左旋多巴	L-dopa	Causative agent	source
T42.8	抗帕金森病药和其他中枢神经系统肌肉张力抑制剂中毒	387086006	左旋多巴	L-dopa	Causative agent	source
T42.8	抗帕金森病药和其他中枢神经系统肌肉张力抑制剂中毒	387086006	左旋多巴	L-dopa	Causative agent	source
T42.8	抗帕金森病药和其他中枢神经系统肌肉张力抑制剂中毒	387086006	左旋多巴	L-dopa	Causative agent	source
T45.1	抗肿瘤药和免疫抑制剂中毒	387381009	甲氨蝶呤	MTX - methotrexate	Causative agent	source
T45.1	抗肿瘤药和免疫抑制剂中毒	387381009	甲氨蝶呤	MTX - methotrexate	Causative agent	source
T45.1	抗肿瘤药和免疫抑制剂中毒	387381009	甲氨蝶呤	MTX - methotrexate	Causative agent	source
T42.8	抗帕金森病药和其他中枢神经系统肌肉张力抑制剂中毒	387086006	左旋多巴	L-dopa	Causative agent	source
T45.1	抗肿瘤药和免疫抑制剂中毒	387381009	甲氨蝶呤	MTX - methotrexate	Causative agent	source
T88.7	药物和药剂未特指的有害效应	396065004	亚叶酸钙	Leucovorin	Causative agent	source
T88.7	药物和药剂未特指的有害效应	387487009	克拉霉素	6-O-methylerythromycin	Causative agent	source
T88.7	药物和药剂未特指的有害效应	387086006	左旋多巴	L-dopa	Causative agent	source
T88.7	药物和药剂未特指的有害效应	387381009	甲氨蝶呤	MTX - methotrexate	Causative agent	source
T36.3	大环内酯类中毒	387487009	克拉霉素	6-O-methylerythromycin	Causative agent	source
T36.3	大环内酯类中毒	387487009	克拉霉素	6-O-methylerythromycin	Causative agent	source
T42.8	抗帕金森病药和其他中枢神经系统肌肉张力抑制剂中毒	387086006	左旋多巴	L-dopa	Causative agent	source
T45.1	抗肿瘤药和免疫抑制剂中毒	387381009	甲氨蝶呤	MTX - methotrexate	Causative agent	source
T45.1	抗肿瘤药和免疫抑制剂中毒	387381009	甲氨蝶呤	MTX - methotrexate	Causative agent	source
T36.3	大环内酯类中毒	387487009	克拉霉素	6-O-methylerythromycin	Causative agent	source
J34.0	鼻的脓肿、疖和痈	409822003	结构域细菌(生物体)	Domain Bacteria (organism)	Causative agent	source
T38.8	其他和未特指的激素类及其合成代用品中毒	77671006	抗利尿激素(物质)	Antidiuretic hormone (substance)	Causative agent	source
T88.7	药物和药剂未特指的有害效应	77671006	抗利尿激素(物质)	Antidiuretic hormone (substance)	Causative agent	source
T38.8	其他和未特指的激素类及其合成代用品中毒	77671006	抗利尿激素(物质)	Antidiuretic hormone (substance)	Causative agent	source
R29.8	累及神经和肌肉骨骼系统其他和未特指的症状和体征	387381009	甲氨蝶呤	MTX - methotrexate	Causative agent	source
G00.9	未特指的细菌性脑膜炎	409822003	结构域细菌(生物体)	Domain Bacteria (organism)	Causative agent	source
B81.0	异尖线虫病	783169007	单形异尖线虫幼虫	Larva of Anisakis simplex (organism)	Causative agent	source
H66.4	未特指的化脓性中耳炎	409822003	结构域细菌(生物体)	Domain Bacteria (organism)	Causative agent	source
J34.0	鼻的脓肿、疖和痈	409822003	结构域细菌(生物体)	Domain Bacteria (organism)	Causative agent	source
B81.0	异尖线虫病	783167009	海岛异尖线虫幼虫	Larva of Anisakis marina	Causative agent	source
N30.8	"其他的膀胱炎	"	409822003	结构域细菌(生物体)	Domain Bacteria (organism)	Causative agent	source
I33.0	急性和亚急性感染性心内膜炎	409822003	结构域细菌(生物体)	Domain Bacteria (organism)	Causative agent	source
N30.8	"其他的膀胱炎	"	409822003	结构域细菌(生物体)	Domain Bacteria (organism)	Causative agent	source
G04.2	细菌性脑膜脑炎和脊髓脊膜炎,不可归类在他处者	409822003	结构域细菌(生物体)	Domain Bacteria (organism)	Causative agent	source
H66.4	未特指的化脓性中耳炎	409822003	结构域细菌(生物体)	Domain Bacteria (organism)	Causative agent	source
T38.8	其他和未特指的激素类及其合成代用品中毒	77671006	抗利尿激素(物质)	Antidiuretic hormone (substance)	Causative agent	source
T13.9	下肢未特指的损伤,水平未特指	210965004	下肢肌腱损伤后遗症	Sequela of injury of muscle and tendon of lower limb	Due to	destination
J63.5	锡沉着病	785340007	吸入物质	Inhalation of substance	Due to	source
J62.8	其他含硅[矽]粉尘引起的肺尘埃沉着病	785340007	吸入物质	Inhalation of substance	Due to	source
D44.2	甲状旁腺动态未定或动态未知的肿瘤	786037006	家族性孤立性甲状旁腺功能亢进症	Familial isolated hyperparathyroidism (disorder)	Due to	destination
E70.2	酪氨酸代谢紊乱	360378009	遗传性卵巢病	Hereditary ochronosis	Due to	source
N02.6	"复发性和持续性血尿,密集沉积物病	"	722760002	肾小球肾炎2型	Mesangiocapillary glomerulonephritis type 2	Due to	source
D75.8	血液和造血器官其他特指的疾病	782759001	伴有血小板异常和中性粒细胞减少症的 x 连锁染色体异常性血清生成性贫血	X-linked dyserythropoietic anemia with abnormal platelets and neutropenia (disorder)	Due to	destination
T59.8	其他特指气体、烟雾和蒸气的毒性效应	785340007	吸入物质	Inhalation of substance	Due to	source
T14.4	身体未特指部位的神经损伤	111729006	神经损伤(疾病)引起的或随后引起的疾病	Disorder due to and following injury to nerve (disorder)	Due to	destination
G62.9	未特指的多神经病	402740007	周围神经病性皮肤病	Dermatosis due to peripheral nerve disorder	Due to	destination
E14.9	未特指的糖尿病不伴有并发症	43959009	糖尿病性白内障	Cataract of eye due to diabetes mellitus (disorder)	Due to	destination
D75.8	血液和造血器官其他特指的疾病	783255002	遗传性孤立性再生障碍性贫血	Hereditary isolated aplastic anemia	Due to	destination
E14.9	未特指的糖尿病不伴有并发症	193489006	虹膜炎由糖尿病引起	Iritis due to diabetes mellitus (disorder)	Due to	destination
E51.8	硫胺素缺乏的其他表现	399357009	硫胺素缺乏症	Thiamine deficiency (disorder)	Due to	source
B97.7	乳头状瘤病毒作为分类于其他章疾病的原因	402123007	由人类乳突病毒引起的上皮内瘤变	Intraepithelial neoplasia due to human papillomavirus (disorder)	Due to	destination
S44.9	在肩和上臂水平的未特指神经的损伤	784382001	肩部神经损伤的晚期效应	Late effect of injury of nerve of shoulder	Due to	destination
J62.8	其他含硅[矽]粉尘引起的肺尘埃沉着病	785340007	吸入物质	Inhalation of substance	Due to	source
I87.8	静脉其他特指的疾患	402863005	小腿静脉瘀血性溃疡	Venous stasis ulcer of leg (disorder)	Due to	destination
T11.3	上肢未特指神经的损伤,水平未特指	784383006	上肢神经损伤及其后遗症	Disorder due to and following injury of nerve of upper limb	Due to	destination
I73.9	未特指的周围血管疾病	402863005	小腿静脉瘀血性溃疡	Venous stasis ulcer of leg (disorder)	Due to	destination
L90.5	皮肤瘢痕情况和纤维化	341511000119100	瘢痕性左眼睑内翻	Cicatricial entropion of left eyelid	Due to	destination
T59.9	未特指气体、烟雾和蒸气的毒性效应	785340007	吸入物质	Inhalation of substance	Due to	source
J68.0	化学制剂、气体、烟雾和蒸气引起的支气管炎和肺炎	785340007	吸入物质	Inhalation of substance	Due to	source
J62.8	其他含硅[矽]粉尘引起的肺尘埃沉着病	785340007	吸入物质	Inhalation of substance	Due to	source
J62.8	其他含硅[矽]粉尘引起的肺尘埃沉着病	785340007	吸入物质	Inhalation of substance	Due to	source
D25.0	子宫粘膜下平滑肌瘤	16754691000119107	粘膜下子宫肌瘤伴异常子宫出血	Submucous uterine fibroid with abnormal uterine bleeding	Due to	destination
J66.0	棉屑沉着病	785340007	吸入物质	Inhalation of substance	Due to	source
E14.9	未特指的糖尿病不伴有并发症	127014009	糖尿病性周围血管病变	Peripheral angiopathy due to diabetes mellitus (disorder)	Due to	destination
E70.2	酪氨酸代谢紊乱	360378009	遗传性卵巢病	Hereditary ochronosis	Due to	source
E14.9	未特指的糖尿病不伴有并发症	25093002	由糖尿病引起的眼睛紊乱	Disorder of eye due to diabetes mellitus (disorder)	Due to	destination
T63.4	其他节肢动物的毒液的毒性效应	783218002	毛毛虫叮咬	Sting by caterpillar	Due to	source
J63.8	其他特指的无机粉尘引起的肺尘埃沉着病	785340007	吸入物质	Inhalation of substance	Due to	source
H34.8	其他的视网膜血管阻塞	786050007	右眼视网膜静脉分支阻塞	Occlusion of branch of retinal vein of right eye	Due to	source
E14.9	未特指的糖尿病不伴有并发症	312912001	糖尿病引起的黄斑水肿	Macular edema due to diabetes mellitus (disorder)	Due to	destination
J62.8	其他含硅[矽]粉尘引起的肺尘埃沉着病	785340007	吸入物质	Inhalation of substance	Due to	source
E14.9	未特指的糖尿病不伴有并发症	309426007	糖尿病性肾小球疾病	Glomerulopathy due to diabetes mellitus (disorder)	Due to	destination
A09.0	其他和未特指传染性病因的胃肠炎和结肠炎	239785008	痢疾后反应性关节炎	Post-dysenteric reactive arthritis	Due to	destination
E14.9	未特指的糖尿病不伴有并发症	238982009	糖尿病引起的皮肤病	Dermopathy due to diabetes mellitus (disorder)	Due to	destination
J62.8	其他含硅[矽]粉尘引起的肺尘埃沉着病	785340007	吸入物质	Inhalation of substance	Due to	source
E14.9	未特指的糖尿病不伴有并发症	236500003	糖尿病蛋白尿肾病	Proteinuric nephropathy due to diabetes mellitus (disorder)	Due to	destination
E14.9	未特指的糖尿病不伴有并发症	236499007	糖尿病性微量白蛋白尿肾病	Microalbuminuric nephropathy due to diabetes mellitus (disorder)	Due to	destination
E14.9	未特指的糖尿病不伴有并发症	201251005	糖尿病所致的足部神经病理性溃疡	Neuropathic ulcer of foot due to diabetes mellitus (disorder)	Due to	destination
T50.9	其他和未特指的药物、药剂和生物制品中毒	784359003	药物中毒后遗症	Sequela of drug poisoning	Due to	destination
J62.8	其他含硅[矽]粉尘引起的肺尘埃沉着病	785340007	吸入物质	Inhalation of substance	Due to	source
N85.0	"子宫内膜腺性增生	"	16755041000119107	子宫内膜增生症异常子宫出血	Endometrial hyperplasia with abnormal uterine bleeding	Due to	destination
J63.8	其他特指的无机粉尘引起的肺尘埃沉着病	785340007	吸入物质	Inhalation of substance	Due to	source
T59.8	其他特指气体、烟雾和蒸气的毒性效应	785340007	吸入物质	Inhalation of substance	Due to	source
E88.0	血浆蛋白代谢紊乱,不可归类在他处者	784373007	β- 巯基乙酸半胱氨酸二硫代氨基酸(紊乱)	Beta-mercaptolactate cysteine disulfiduria (disorder)	Due to	destination
D25.1	子宫壁内平滑肌瘤	16754791000119101	子宫壁内子宫肌瘤引起的异常子宫出血	Abnormal uterine bleeding due to intramural uterine fibroid (disorder)	Due to	destination
H34.8	其他的视网膜血管阻塞	786054003	右眼视网膜中央静脉闭塞	Occlusion of central retinal vein of right eye	Due to	source
E70.2	酪氨酸代谢紊乱	360378009	遗传性卵巢病	Hereditary ochronosis	Due to	source
T63.4	其他节肢动物的毒液的毒性效应	783247009	被非洲蜜蜂蜇伤(事件)	Sting by African honey bee (event)	Due to	source
H10.9	未特指的结膜炎	343161000119109	双眼葡萄膜性青光眼	Uveitic glaucoma of both eyes	Due to	destination
E13.8	其他特指的糖尿病伴有未特指的并发症	782964007	遗传疾病	Genetic disease	Due to	source
E14.9	未特指的糖尿病不伴有并发症	310387003	糖尿病性肾小球硬化	Intracapillary glomerulosclerosis due to diabetes mellitus	Due to	destination
N02.6	"复发性和持续性血尿,密集沉积物病	"	722760002	肾小球肾炎2型	Mesangiocapillary glomerulonephritis type 2	Due to	source
L90.5	皮肤瘢痕情况和纤维化	334251000119104	右下睑瘢痕性外翻	Cicatricial ectropion of right lower eyelid	Due to	destination
J62.8	其他含硅[矽]粉尘引起的肺尘埃沉着病	785340007	吸入物质	Inhalation of substance	Due to	source
G24.5	睑痉挛	339691000119105	痉挛性左下眼睑内翻(疾病)	Spastic entropion of left lower eyelid (disorder)	Due to	destination
L90.5	皮肤瘢痕情况和纤维化	339851000119104	左下眼睑瘢痕性外翻(病变)	Cicatricial ectropion of left lower eyelid (disorder)	Due to	destination
J62.8	其他含硅[矽]粉尘引起的肺尘埃沉着病	785340007	吸入物质	Inhalation of substance	Due to	source
S05.8	眼和眶其他损伤	787519008	闭合性眼钝器伤(障碍性)	Closed blunt force injury to eye (disorder)	Due to	source
J62.0	滑石粉引起的肺尘埃沉着病	785340007	吸入物质	Inhalation of substance	Due to	source
D69.1	血小板质量缺陷	783194008	血栓素合成缺乏引起的出血素质	Bleeding diathesis due to thromboxane synthesis deficiency	Due to	destination
T65.9	未特指物质的毒性效应	363304009	中毒的后遗症	Late effect of poisoning	Due to	destination
J63.1	铁矾土纤维化(肺的)	785340007	吸入物质	Inhalation of substance	Due to	source
K65.9	未特指的腹膜炎	785834005	腹膜炎所致脓肿	Abscess due to peritonitis (disorder)	Due to	destination
J63.8	其他特指的无机粉尘引起的肺尘埃沉着病	785340007	吸入物质	Inhalation of substance	Due to	source
L02.9	未特指的皮肤脓肿、疖和痈	785835006	脓肿性腹膜炎	Peritonitis due to abscess (disorder)	Due to	destination
J63.8	其他特指的无机粉尘引起的肺尘埃沉着病	785340007	吸入物质	Inhalation of substance	Due to	source
T30.0	身体未特指部位的烧伤,程度未特指	432513009	烧伤后遗症引起的畸形	Deformity as a sequela of burn	Due to	destination
J62.8	其他含硅[矽]粉尘引起的肺尘埃沉着病	785340007	吸入物质	Inhalation of substance	Due to	source
L90.5	皮肤瘢痕情况和纤维化	341521000119107	左眼睑瘢痕性外翻	Cicatricial ectropion of left eyelid	Due to	destination
H34.8	其他的视网膜血管阻塞	786049007	左眼视网膜静脉分支阻塞	Occlusion of branch of retinal vein of left eye	Due to	source
I25.1	动脉硬化性心脏病	16754391000119100	冠状动脉疾病稳定性心绞痛	Stable angina due to coronary arteriosclerosis (disorder)	Due to	destination
H33.0	视网膜脱离伴视网膜断裂	785884003	右眼视网膜裂孔(病变)	Retinal tear of right eye (disorder)	Due to	source
I67.0	大脑动脉夹层形成,未破裂	783707003	因脑动脉剥离引起的脑内的动脉瘤	Cerebral aneurysm due to dissection of cerebral artery	Due to	destination
T18.1	食管内异物	217809007	食管异物引起的呼吸道压迫	Respiratory compression due to foreign body in esophagus	Due to	destination
T18.1	食管内异物	217808004	食管异物致呼吸阻塞	Respiratory obstruction due to foreign body in esophagus	Due to	destination
Y88.0	"在治疗中使用药物、药剂和生物制品引起有害效应的后遗症	"	275385007	生物性物质中毒	Poisoning caused by biological substance	Due to	source
J62.8	其他含硅[矽]粉尘引起的肺尘埃沉着病	785340007	吸入物质	Inhalation of substance	Due to	source
H34.8	其他的视网膜血管阻塞	786050007	右眼视网膜静脉分支阻塞	Occlusion of branch of retinal vein of right eye	Due to	source
J63.4	铁沉着病	785340007	吸入物质	Inhalation of substance	Due to	source
L90.5	皮肤瘢痕情况和纤维化	335901000119105	瘢痕性右眼睑内翻	Cicatricial entropion of right eyelid (disorder)	Due to	destination
J62.8	其他含硅[矽]粉尘引起的肺尘埃沉着病	785340007	吸入物质	Inhalation of substance	Due to	source
H26.1	外伤性白内障	784306000	晶状体囊破裂	Rupture of lens capsule	Due to	source
J63.4	铁沉着病	785340007	吸入物质	Inhalation of substance	Due to	source
S01.9	头部部位未特指的开放性伤口	209956005	头部开放性创伤后硬膜下出血(紊乱)	Subdural hemorrhage following open wound of head (disorder)	Due to	destination
T63.4	其他节肢动物的毒液的毒性效应	783221000	被蜜蜂蜇伤(事件)	Sting by honey bee (event)	Due to	source
P07.3	其他早产婴儿	343781000119104	双眼早产儿视网膜病变0	Retinopathy of prematurity of bilateral eyes stage 0	Due to	destination
H34.8	其他的视网膜血管阻塞	786054003	右眼视网膜中央静脉闭塞	Occlusion of central retinal vein of right eye	Due to	source
J63.8	其他特指的无机粉尘引起的肺尘埃沉着病	785340007	吸入物质	Inhalation of substance	Due to	source
F11.3	阿片样物质戒断状态	16279021000119106	阿片类药物戒断引起的谵妄	Delirium due to opioid withdrawal	Due to	destination
J62.8	其他含硅[矽]粉尘引起的肺尘埃沉着病	785340007	吸入物质	Inhalation of substance	Due to	source
T30.0	身体未特指部位的烧伤,程度未特指	21835004	烧伤后遗症	Sequela of burn	Due to	destination
D84.1	补体系统中的缺陷	783007005	D 因子缺乏引起的复发性奈瑟菌感染	Recurrent Neisseria infection due to factor D deficiency	Due to	destination
D48.9	未特指的动态未定或动态未知的肿瘤	783008000	垂体皮样囊肿和表皮样囊肿(疾病)	Pituitary dermoid and epidermoid cysts (disorder)	Due to	destination
J63.8	其他特指的无机粉尘引起的肺尘埃沉着病	785340007	吸入物质	Inhalation of substance	Due to	source
Q87.8	其他特指的先天性畸形综合征,不可归类在他处者	782964007	遗传疾病	Genetic disease	Due to	source
H33.0	视网膜脱离伴视网膜断裂	785885002	左眼视网膜裂孔(病变)	Retinal tear of left eye (disorder)	Due to	source
P15.9	未特指的产伤	784407005	由于出生创伤导致的大面积眼睑下血肿	Massive subgaleal hematoma due to birth trauma	Due to	destination
K52.9	未特指的非感染性胃肠炎和结肠炎	9350004	炎症性肠病关节炎	Arthritis due to inflammatory bowel disease (disorder)	Due to	destination
L90.5	皮肤瘢痕情况和纤维化	16235581000119102	双侧下睑瘢痕性睑外翻	Cicatricial ectropion of bilateral lower eyelids	Due to	destination
Q87.8	其他特指的先天性畸形综合征,不可归类在他处者	782964007	遗传疾病	Genetic disease	Due to	source
D33.3	脑神经良性肿瘤	189948006	神经鞘瘤	Neurilemmoma	Due to	source
J68.0	化学制剂、气体、烟雾和蒸气引起的支气管炎和肺炎	785340007	吸入物质	Inhalation of substance	Due to	source
H34.8	其他的视网膜血管阻塞	786055002	左眼视网膜中央静脉闭塞(障碍)	Occlusion of central retinal vein of left eye (disorder)	Due to	source
J66.2	大麻沉着病	785340007	吸入物质	Inhalation of substance	Due to	source
H34.8	其他的视网膜血管阻塞	786049007	左眼视网膜静脉分支阻塞	Occlusion of branch of retinal vein of left eye	Due to	source
